yr_m,port,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2007-01-01,釧路,0,0,0,0,0,0
2007-01-01,稚内,0,0,0,0,0,0
2007-01-01,根室,0,0,0,0,0,0
2007-01-01,小樽,1,55,0,0,38,0
2007-01-01,室蘭,0,0,0,0,2,0
2007-01-01,函館,0,0,0,47,0,0
2007-01-01,留萌,0,0,0,0,0,0
2007-01-01,苫小牧,0,0,0,0,0,0
2007-01-01,新 千 歳(空港),12696,22262,7,10824,22908,0
2007-01-01,網走,0,0,0,0,0,0
2007-01-01,花咲,0,0,0,0,0,0
2007-01-01,紋別,0,0,0,0,1,0
2007-01-01,函　　 館(空港),584,3767,0,575,3385,0
2007-01-01,釧　　 路(空港),1,1221,0,4,1216,3
2007-01-01,帯　　 広(空港),149,1201,0,145,1170,0
2007-01-01,石狩湾,0,0,0,0,0,0
2007-01-01,女 満 別(空港),2,619,0,0,492,0
2007-01-01,旭　　 川(空港),744,2500,0,735,2527,0
2007-01-01,中標津（空港）,0,0,0,0,0,0
2007-01-01,青森,0,0,0,0,0,0
2007-01-01,八戸,24,4,0,0,0,0
2007-01-01,釜石,0,0,0,0,0,0
2007-01-01,仙台塩釜,0,0,0,0,0,0
2007-01-01,小名浜,0,0,0,0,0,0
2007-01-01,酒田,0,0,0,0,0,0
2007-01-01,秋田船川,0,0,0,0,0,0
2007-01-01,宮古,0,0,0,0,0,0
2007-01-01,大船渡,0,0,0,0,0,0
2007-01-01,石巻,0,0,0,0,0,0
2007-01-01,三　　 沢(空港),0,11,0,0,21,0
2007-01-01,八　　 戸（空港）,0,0,0,0,0,0
2007-01-01,仙　　 台(空港),9998,6733,24,8196,6427,0
2007-01-01,秋　　 田(空港),651,1254,0,696,1193,0
2007-01-01,山　　 形(空港),0,0,0,0,0,0
2007-01-01,花　　 巻(空港),157,0,0,157,0,0
2007-01-01,青　　 森(空港),582,1834,14,580,1824,19
2007-01-01,庄　　 内(空港),0,0,0,0,0,0
2007-01-01,福　　 島(空港),1457,1889,0,1221,2036,0
2007-01-01,東京,31,0,0,39,5,0
2007-01-01,千葉,4,1,0,3,8,0
2007-01-01,新潟,1,1,0,0,7,0
2007-01-01,直江津,0,0,0,0,0,0
2007-01-01,横　　 田(空港),4,212,0,34,193,0
2007-01-01,鹿島,0,3,0,0,0,0
2007-01-01,木更津,0,0,0,0,0,0
2007-01-01,二見,0,0,0,0,0,0
2007-01-01,柏崎,0,0,0,0,0,0
2007-01-01,日立,0,0,0,0,0,0
2007-01-01,新　　 潟(空港),6291,3422,0,5714,3957,0
2007-01-01,羽　　 田(空港),31763,36243,30,31647,32553,35
2007-01-01,成　　 田(空港),773875,331630,10150,784609,298379,6391
2007-01-01,横浜,1210,30,0,816,181,0
2007-01-01,横須賀,0,0,29,0,31,0
2007-01-01,川崎,2,1,0,1,3,0
2007-01-01,厚　　 木(空港),4,2,0,3,1,0
2007-01-01,入　　 間(空港),0,0,0,0,0,0
2007-01-01,硫黄島（空港）,0,0,0,0,0,0
2007-01-01,松　　 本(空港),0,0,0,0,0,0
2007-01-01,清水,0,1,0,3,0,0
2007-01-01,田子の浦,0,0,0,0,5,0
2007-01-01,焼津,0,0,0,0,0,0
2007-01-01,浜　　 松(空港),0,0,0,0,0,0
2007-01-01,中　　 部（空港）,157597,43228,198,158645,33419,149
2007-01-01,名古屋,0,2,0,1,4,0
2007-01-01,四日市,0,4,0,0,1,0
2007-01-01,敦賀,0,0,0,3,0,0
2007-01-01,七尾,0,0,0,0,0,0
2007-01-01,名 古 屋(空港),11,17,0,15,19,0
2007-01-01,衣浦,0,0,0,0,0,0
2007-01-01,金沢,0,0,0,0,0,0
2007-01-01,小　　 松(空港),1640,1573,0,1712,1416,0
2007-01-01,富　　 山(空港),2512,1335,0,2373,978,0
2007-01-01,福井（新）,0,0,0,0,4,0
2007-01-01,伊勢湾シーバース,0,0,0,0,0,0
2007-01-01,福　　 井(空港),0,0,0,0,0,0
2007-01-01,能　　 登(空港),0,0,0,0,0,0
2007-01-01,三河,0,0,0,0,2,0
2007-01-01,伏木富山,4,500,0,5,304,0
2007-01-01,関　　 西(空港),306415,116672,3168,304935,100421,1383
2007-01-01,大阪,729,7346,0,355,6727,0
