date,access
2011/12/01,22
2011/12/02,16
2011/12/03,11
2011/12/04,20
2011/12/05,19
2011/12/06,7
2011/12/07,9
2011/12/08,7
2011/12/09,8
2011/12/10,5
2011/12/11,3
2011/12/12,7
2011/12/13,10
2011/12/14,5
2011/12/15,12
2011/12/16,21
2011/12/17,2
2011/12/18,5
2011/12/19,7
2011/12/20,5
2011/12/21,8
2011/12/22,5
2011/12/23,5
2011/12/24,0
2011/12/25,2
2011/12/26,5
2011/12/27,1
2011/12/28,4
2011/12/29,1
2011/12/30,4
2011/12/31,2
2012/01/01,2
2012/01/02,3
2012/01/03,2
2012/01/04,3
2012/01/05,9
2012/01/06,13
2012/01/07,0
2012/01/08,1
2012/01/09,3
2012/01/10,10
2012/01/11,13
2012/01/12,13
2012/01/13,9
2012/01/14,7
2012/01/15,2
2012/01/16,4
2012/01/17,2
2012/01/18,1
2012/01/19,5
2012/01/20,3
2012/01/21,59
2012/01/22,46
2012/01/23,11
2012/01/24,5
2012/01/25,3
2012/01/26,11
2012/01/27,9
2012/01/28,8
2012/01/29,10
2012/01/30,7
2012/01/31,13
2012/02/01,7
2012/02/02,9
2012/02/03,5
2012/02/04,5
2012/02/05,9
2012/02/06,5
2012/02/07,10
2012/02/08,12
2012/02/09,23
2012/02/10,16
2012/02/11,58
2012/02/12,19
2012/02/13,27
2012/02/14,13
2012/02/15,13
2012/02/16,19
2012/02/17,14
2012/02/18,9
2012/02/19,10
2012/02/20,11
2012/02/21,15
2012/02/22,11
2012/02/23,15
2012/02/24,17
2012/02/25,7
2012/02/26,11
2012/02/27,15
2012/02/28,13
2012/02/29,5
2012/03/01,20
2012/03/02,19
2012/03/03,14
2012/03/04,8
2012/03/05,10
2012/03/06,20
2012/03/07,14
2012/03/08,22
2012/03/09,30
2012/03/10,21
2012/03/11,20
2012/03/12,17
2012/03/13,8
2012/03/14,15
2012/03/15,17
2012/03/16,10
2012/03/17,11
2012/03/18,8
2012/03/19,9
2012/03/20,9
2012/03/21,18
2012/03/22,18
2012/03/23,17
2012/03/24,8
2012/03/25,9
2012/03/26,12
2012/03/27,23
2012/03/28,27
2012/03/29,16
2012/03/30,16
2012/03/31,7
2012/04/01,16
2012/04/02,17
2012/04/03,13
2012/04/04,30
2012/04/05,25
2012/04/06,13
2012/04/07,10
2012/04/08,8
2012/04/09,20
2012/04/10,22
2012/04/11,12
2012/04/12,18
2012/04/13,20
2012/04/14,18
2012/04/15,12
2012/04/16,13
2012/04/17,17
2012/04/18,19
2012/04/19,16
2012/04/20,21
2012/04/21,8
2012/04/22,13
2012/04/23,21
2012/04/24,191
2012/04/25,92
2012/04/26,44
2012/04/27,51
2012/04/28,25
2012/04/29,19
2012/04/30,23
2012/05/01,40
2012/05/02,31
2012/05/03,19
2012/05/04,21
2012/05/05,21
2012/05/06,17
2012/05/07,27
2012/05/08,36
2012/05/09,17
2012/05/10,39
2012/05/11,18
2012/05/12,17
2012/05/13,12
2012/05/14,26
2012/05/15,33
2012/05/16,27
2012/05/17,39
2012/05/18,26
2012/05/19,21
2012/05/20,22
2012/05/21,33
2012/05/22,22
2012/05/23,30
2012/05/24,16
2012/05/25,26
2012/05/26,21
2012/05/27,15
2012/05/28,22
2012/05/29,18
2012/05/30,23
2012/05/31,21
2012/06/01,28
2012/06/02,36
2012/06/03,20
2012/06/04,46
2012/06/05,50
2012/06/06,47
2012/06/07,36
2012/06/08,19
2012/06/09,20
2012/06/10,25
2012/06/11,33
2012/06/12,30
2012/06/13,29
2012/06/14,35
2012/06/15,38
2012/06/16,19
2012/06/17,15
2012/06/18,54
2012/06/19,56
2012/06/20,48
2012/06/21,111
2012/06/22,55
2012/06/23,47
2012/06/24,21
2012/06/25,40
2012/06/26,46
2012/06/27,52
2012/06/28,57
2012/06/29,53
2012/06/30,45
2012/07/01,33
2012/07/02,61
2012/07/03,63
2012/07/04,46
2012/07/05,53
2012/07/06,41
2012/07/07,17
2012/07/08,26
2012/07/09,47
2012/07/10,40
2012/07/11,44
2012/07/12,51
2012/07/13,62
2012/07/14,36
2012/07/15,36
2012/07/16,46
2012/07/17,46
2012/07/18,49
2012/07/19,37
2012/07/20,48
2012/07/21,30
2012/07/22,42
2012/07/23,66
2012/07/24,87
2012/07/25,50
2012/07/26,48
2012/07/27,37
2012/07/28,28
2012/07/29,24
2012/07/30,39
2012/07/31,60
2012/08/01,44
2012/08/02,62
2012/08/03,45
2012/08/04,37
2012/08/05,24
2012/08/06,45
2012/08/07,71
2012/08/08,54
2012/08/09,84
2012/08/10,55
2012/08/11,33
2012/08/12,31
2012/08/13,48
2012/08/14,55
2012/08/15,58
2012/08/16,99
2012/08/17,122
2012/08/18,45
2012/08/19,73
2012/08/20,98
2012/08/21,66
2012/08/22,77
2012/08/23,61
2012/08/24,86
2012/08/25,59
2012/08/26,32
2012/08/27,77
2012/08/28,76
2012/08/29,66
2012/08/30,58
2012/08/31,71
2012/09/01,32
2012/09/02,35
2012/09/03,53
2012/09/04,89
2012/09/05,85
2012/09/06,95
2012/09/07,72
2012/09/08,73
2012/09/09,52
2012/09/10,81
2012/09/11,103
2012/09/12,105
2012/09/13,86
2012/09/14,103
2012/09/15,45
2012/09/16,59
2012/09/17,45
2012/09/18,88
2012/09/19,85
2012/09/20,58
2012/09/21,78
2012/09/22,55
2012/09/23,38
2012/09/24,64
2012/09/25,114
2012/09/26,120
2012/09/27,101
2012/09/28,77
2012/09/29,57
2012/09/30,53
2012/10/01,82
2012/10/02,76
2012/10/03,84
2012/10/04,84
2012/10/05,92
2012/10/06,50
2012/10/07,46
2012/10/08,65
2012/10/09,102
2012/10/10,109
2012/10/11,117
2012/10/12,76
2012/10/13,49
2012/10/14,40
2012/10/15,98
2012/10/16,106
2012/10/17,118
2012/10/18,114
2012/10/19,98
2012/10/20,65
2012/10/21,52
2012/10/22,114
2012/10/23,122
2012/10/24,109
2012/10/25,114
2012/10/26,98
2012/10/27,49
2012/10/28,48
2012/10/29,118
2012/10/30,134
2012/10/31,115
2012/11/01,147
2012/11/02,149
2012/11/03,51
2012/11/04,65
2012/11/05,253
2012/11/06,172
2012/11/07,149
2012/11/08,152
2012/11/09,148
2012/11/10,72
2012/11/11,96
2012/11/12,135
2012/11/13,154
2012/11/14,146
2012/11/15,165
2012/11/16,144
2012/11/17,63
2012/11/18,84
2012/11/19,151
2012/11/20,152
2012/11/21,149
2012/11/22,125
2012/11/23,81
2012/11/24,75
2012/11/25,59
2012/11/26,160
2012/11/27,144
2012/11/28,154
2012/11/29,158
2012/11/30,211
2012/12/01,96
2012/12/02,86
2012/12/03,151
2012/12/04,172
2012/12/05,182
2012/12/06,188
2012/12/07,125
2012/12/08,73
2012/12/09,104
2012/12/10,179
2012/12/11,169
2012/12/12,177
2012/12/13,145
2012/12/14,180
2012/12/15,93
2012/12/16,109
2012/12/17,185
2012/12/18,210
2012/12/19,191
2012/12/20,486
2012/12/21,477
2012/12/22,182
2012/12/23,146
2012/12/24,146
2012/12/25,242
2012/12/26,242
2012/12/27,230
2012/12/28,197
2012/12/29,134
2012/12/30,132
2012/12/31,123
2013/01/01,113
2013/01/02,111
2013/01/03,137
2013/01/04,200
2013/01/05,133
2013/01/06,151
2013/01/07,221
2013/01/08,226
2013/01/09,224
2013/01/10,258
2013/01/11,223
2013/01/12,124
2013/01/13,123
2013/01/14,189
2013/01/15,235
2013/01/16,229
2013/01/17,311
2013/01/18,271
2013/01/19,155
2013/01/20,178
2013/01/21,457
2013/01/22,744
2013/01/23,414
2013/01/24,315
2013/01/25,327
2013/01/26,184
2013/01/27,178
2013/01/28,259
2013/01/29,296
2013/01/30,301
2013/01/31,348
2013/02/01,311
2013/02/02,218
2013/02/03,192
2013/02/04,338
2013/02/05,340
2013/02/06,303
2013/02/07,326
2013/02/08,259
2013/02/09,235
2013/02/10,223
2013/02/11,221
2013/02/12,290
2013/02/13,355
2013/02/14,349
2013/02/15,335
2013/02/16,237
2013/02/17,251
2013/02/18,355
2013/02/19,278
2013/02/20,243
2013/02/21,294
2013/02/22,278
2013/02/23,162
2013/02/24,165
2013/02/25,260
2013/02/26,291
2013/02/27,259
2013/02/28,304
