date,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
20070101,1413243,696454,15680,1407790,624720,8959
20070102,1334725,690793,8213,1377670,724385,8901
20070103,1648161,761577,9390,1575478,692932,9853
20070104,1215477,784551,12437,1289713,818958,12054
20070105,1342884,737467,10301,1305574,668586,11674
20070106,1386220,690427,10316,1381922,686884,17108
20070107,1394565,867743,15626,1413231,846010,13113
20070108,1632641,845355,15969,1687050,894791,10835
20070109,1602174,757069,10470,1550601,708791,9585
20070110,1447773,849023,9200,1484102,812735,8927
20070111,1434399,746261,10378,1451116,758616,9694
20070112,1347048,725466,11961,1370688,803967,16944
20070113,1375504,790688,15115,1353928,732656,8746
20070114,1300573,762688,9201,1372626,784553,8473
20070115,1550870,804752,10161,1455505,741465,9296
20070116,1158853,848998,12536,1183191,874617,12602
20070117,1249813,806754,11090,1267951,762333,11559
20070118,1293159,740001,11864,1272663,722195,16204
20070119,1290574,883681,16466,1331867,872832,14289
20070120,1474808,825787,16126,1486016,896046,10219
20070121,1401894,705288,10164,1370631,627394,8712
20070122,1297869,803147,8891,1353482,791816,8453
20070123,1290487,612629,10424,1264104,645148,9673
20070124,1221029,561695,12416,1275286,637998,16605
20070125,1261067,658906,15275,1172539,606466,9234
20070126,1250759,473650,8939,1359580,528521,8504
20070127,1505396,636579,10279,1419042,587295,10379
20070128,1144078,694181,12417,1201614,725066,12326
20070129,1101447,552189,12294,1036356,539753,12000
20070130,956207,477803,11538,947928,465953,16631
20070131,1229455,692321,15193,1276275,695665,13193
20070132,1471344,765805,16584,1516588,817024,11095
20070133,1608157,605135,10695,1590607,567395,10558
20070134,1339181,721558,9823,1364447,681739,9727
20070135,1299777,624132,11436,1279318,647991,10530
20070136,1265681,679071,13811,1281390,725966,19409
20070137,1271526,718635,16323,1264299,683921,10075
20070138,1217853,724731,9390,1289825,777031,9154
20070139,1651059,786048,10460,1563113,699447,10014
20070140,1144872,859624,13120,1212959,911533,13079
20070141,1318721,793027,11599,1262453,753862,13469
20070142,1312843,736802,11849,1312608,718963,17655
20070143,1374082,941767,14933,1405335,938356,14777
20070144,1616438,895468,15773,1642240,967632,11546
20070145,1562112,788661,9407,1541041,739492,9520
20070146,1435814,797151,9610,1437105,777861,9618
20070147,1397229,698679,10494,1397424,713106,10572
20070148,1309335,703103,12306,1308822,760448,17004
20070149,1353371,797607,16628,1282348,768390,9584
20070150,1253875,749360,9241,1391193,773704,9667
20070151,1466048,422950,8708,1420584,692325,14639
20070152,1033440,391469,15249,1114906,303229,11003
20070153,1252696,451313,13198,1152339,357581,12830
20070154,1254522,500086,12241,1267227,466950,15551
20070155,1420263,629428,14050,1465379,631536,13895
20070156,1761235,643196,15810,1786412,675935,11234
20070157,1665089,615422,9762,1637158,547975,9584
20070158,1543785,687305,9442,1517525,675328,9127
20070159,1484142,617612,9259,1497704,602172,9366
20070160,1432637,629659,11814,1461425,695902,17119
20070161,1387850,778147,14988,1331144,726368,8829
20070162,1459781,620238,7968,1572587,644614,8891
20070163,1818875,757044,8602,1737033,695200,9530
20070164,1332851,860884,12424,1410963,895475,11415
20070165,1492049,749701,9832,1431204,706997,12247
20070166,1486432,734958,10914,1481674,716609,16532
20070167,1555878,884344,15207,1598016,884019,13390
20070168,1917727,842167,15487,1964041,910863,10346
